,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
3034,CHHATTISGARH,1968,25.6,26.1,16.3,19.5,4.5,176.2,354.9,269.9,210.7,59.7,0.7,3.9,1168.0
3035,CHHATTISGARH,1969,6.0,1.6,0.6,18.7,46.2,121.8,442.4,291.4,211.4,18.5,6.0,7.9,1172.6
3036,CHHATTISGARH,1970,12.1,11.9,44.9,18.9,23.2,237.9,453.2,443.1,236.4,19.9,0.0,0.0,1501.5
3037,CHHATTISGARH,1971,20.3,24.8,11.6,48.8,68.6,384.1,354.6,398.8,127.9,89.6,4.7,0.0,1533.8
3038,CHHATTISGARH,1972,0.1,19.2,1.2,15.2,6.2,123.9,319.4,392.0,232.4,49.2,36.3,3.9,1198.9
3039,CHHATTISGARH,1973,3.8,10.0,2.6,3.1,6.9,97.9,429.3,401.9,286.5,223.3,2.0,0.0,1467.3
3040,CHHATTISGARH,1974,0.0,6.6,2.5,1.5,9.2,115.6,253.4,353.3,100.4,97.3,11.3,0.0,951.0
3041,CHHATTISGARH,1975,9.7,7.4,11.3,3.7,8.7,202.5,403.3,421.3,265.7,140.8,0.9,0.0,1475.5
3042,CHHATTISGARH,1976,0.4,4.1,1.1,15.9,12.6,100.0,569.0,492.1,174.5,2.8,6.7,0.2,1379.3
3043,CHHATTISGARH,1977,4.1,4.9,2.2,19.0,33.7,242.4,509.3,386.3,196.5,19.9,40.9,6.1,1465.5
3044,CHHATTISGARH,1978,4.1,13.7,18.9,12.8,3.7,257.0,377.7,470.8,176.0,11.5,11.9,12.2,1370.4
3045,CHHATTISGARH,1979,20.7,24.7,0.6,4.4,4.4,176.3,209.8,267.2,155.5,26.1,11.3,3.6,904.6
3046,CHHATTISGARH,1980,5.3,2.3,7.9,7.2,15.5,273.0,426.6,362.2,369.4,21.4,0.0,4.6,1495.4
3047,CHHATTISGARH,1981,20.7,1.6,20.7,4.0,15.6,127.5,356.2,409.1,237.2,20.7,0.9,2.2,1216.2
3048,CHHATTISGARH,1982,27.2,18.9,22.5,11.5,25.0,133.5,251.8,501.1,119.1,75.2,10.9,0.6,1197.4
3049,CHHATTISGARH,1983,0.3,24.9,1.5,20.4,28.4,155.7,324.2,417.6,330.9,58.2,0.6,9.4,1371.9
3050,CHHATTISGARH,1984,35.3,12.4,0.1,24.9,15.5,291.6,322.0,400.2,99.8,52.7,0.2,0.0,1254.7
3051,CHHATTISGARH,1985,33.2,9.4,0.4,8.7,11.9,137.2,398.9,346.0,214.6,77.2,0.0,0.0,1237.5
3052,CHHATTISGARH,1986,23.3,45.7,10.0,11.5,8.7,361.9,367.9,321.0,98.7,61.9,33.9,24.1,1368.6
3053,CHHATTISGARH,1987,9.2,9.3,7.9,2.4,22.1,81.0,409.9,264.8,214.0,82.5,37.5,2.2,1142.8
3054,CHHATTISGARH,1988,0.7,25.1,6.2,22.7,8.8,219.7,375.0,351.1,167.8,28.7,0.4,0.1,1206.3
3055,CHHATTISGARH,1989,0.1,0.0,10.5,1.0,8.9,226.8,372.1,353.7,173.9,10.4,5.2,24.6,1187.2
3056,CHHATTISGARH,1990,0.5,18.5,9.2,7.4,122.3,293.6,393.9,375.9,268.2,143.6,9.4,1.4,1643.8
3057,CHHATTISGARH,1991,10.6,1.6,9.2,3.7,4.7,143.8,446.2,411.2,135.1,37.9,9.3,7.6,1220.8
3058,CHHATTISGARH,1992,0.1,0.3,0.5,1.9,5.4,137.1,401.3,419.1,180.0,7.9,3.0,0.0,1156.6
3059,CHHATTISGARH,1993,0.0,5.3,7.1,4.7,10.0,167.2,351.0,299.5,298.6,60.1,1.9,0.0,1205.3
3060,CHHATTISGARH,1994,3.5,8.4,0.0,5.2,9.1,413.4,575.7,447.7,212.0,76.9,2.7,0.0,1754.5
3061,CHHATTISGARH,1995,43.5,2.6,24.0,5.2,24.9,119.5,478.3,356.0,137.7,69.6,11.2,8.2,1280.7
3062,CHHATTISGARH,1996,11.1,5.6,3.6,4.8,2.2,195.2,352.4,429.4,156.8,25.0,0.8,0.2,1187.0
3063,CHHATTISGARH,1997,6.3,0.1,2.2,45.7,7.2,153.8,384.6,414.7,167.5,30.2,51.4,53.5,1317.2
3064,CHHATTISGARH,1998,64.9,11.2,27.3,11.9,16.4,156.2,356.0,259.6,288.3,93.1,47.8,0.0,1332.5
3065,CHHATTISGARH,1999,0.0,3.1,0.1,0.0,31.5,222.5,310.0,408.7,253.7,91.2,1.3,0.6,1322.6
3066,CHHATTISGARH,2000,2.6,0.0,0.6,1.5,9.3,180.7,322.4,215.6,169.1,4.3,0.2,0.1,906.3
3067,CHHATTISGARH,2001,0.8,0.3,14.6,17.6,16.6,339.4,630.6,380.3,108.4,86.9,4.6,0.0,1600.1
3068,CHHATTISGARH,2002,41.5,4.9,12.2,3.3,32.1,196.3,138.4,352.4,122.3,57.8,13.3,15.9,990.2
3069,CHHATTISGARH,2003,3.7,17.7,12.1,2.6,0.7,128.7,446.6,519.7,384.1,157.6,5.8,14.9,1694.3
3070,CHHATTISGARH,2004,37.8,16.7,3.1,21.2,6.8,213.1,323.1,351.7,126.5,43.9,0.7,0.1,1144.5
3071,CHHATTISGARH,2005,57.6,15.6,6.1,6.5,16.4,197.0,393.8,267.7,240.5,83.5,1.6,1.0,1287.2
3072,CHHATTISGARH,2006,2.7,0.0,26.2,17.2,23.5,92.2,495.1,447.2,184.6,13.3,15.1,0.7,1317.7
3073,CHHATTISGARH,2007,0.0,15.7,6.2,11.4,10.4,259.4,309.9,338.8,259.1,67.8,2.0,0.5,1281.2
3074,CHHATTISGARH,2008,6.7,9.7,22.2,11.2,9.5,236.4,280.5,305.1,215.4,10.7,1.2,0.0,1108.5
3075,CHHATTISGARH,2009,1.2,0.0,2.3,1.9,11.2,45.3,455.0,247.1,104.7,43.6,42.5,1.9,956.6
3076,CHHATTISGARH,2010,7.9,4.9,1.0,5.9,12.6,102.6,426.8,340.3,302.5,54.3,20.2,27.6,1306.6
3077,CHHATTISGARH,2011,0.3,11.5,2.6,35.0,16.8,183.5,272.6,379.8,382.2,15.5,0.0,2.8,1302.7
3078,CHHATTISGARH,2012,36.6,4.8,1.1,14.9,9.4,147.3,430.6,442.2,245.3,19.8,20.4,5.0,1377.4
3079,CHHATTISGARH,2013,2.8,19.7,4.9,45.8,5.7,263.6,418.8,336.6,140.9,180.9,0.3,0.0,1420.0
3080,CHHATTISGARH,2014,2.3,29.0,21.4,17.3,25.0,104.9,416.7,327.7,252.7,77.9,2.6,1.1,1278.7
3081,CHHATTISGARH,2015,15.8,1.2,21.2,37.0,13.0,257.6,248.6,286.6,216.9,17.7,0.6,1.5,1117.6
